dataset,model,n_features,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc
CICIDS2017,XGBoost,15,0.9952131578947369,0.9926440655674917,0.9922323329932008,0.9926440655674917,0.9924380384210011,0.9996527674703382
CICIDS2017,RF,15,0.9960815789473684,0.9933561822927974,0.9942487879740102,0.9933561822927974,0.9938017329438915,0.9996448830478585
CICIDS2017,DT,15,0.9960394736842105,0.99334004645359,0.9941326645806541,0.99334004645359,0.9937357622325393,0.9994722588341923
BoT-IoT,XGBoost,10,0.9999925,0.9814802313127087,0.9905635374045552,0.9814802313127087,0.9859794331604002,0.9999995369745286
BoT-IoT,RF,10,0.999985,0.9444444444444444,0.999992499099892,0.9444444444444444,0.9705844848159317,0.999998333108303
BoT-IoT,DT,10,0.99998,0.9536999531973853,0.9711475953412405,0.9536999531973853,0.9622591502808084,0.9536999531973853
ToN-IoT,XGBoost,15,0.9987680352531451,0.9981240041603279,0.9984678663579312,0.9981240041603279,0.9982957984238285,0.9999857058586109
ToN-IoT,RF,15,0.9992181762183421,0.9985568583315223,0.9992805042621773,0.9985568583315223,0.9989180767243959,0.9999963798938185
ToN-IoT,DT,15,0.998317894287948,0.9979324847092428,0.9974183565305579,0.9979324847092428,0.9976751136940759,0.9979324847092427
