dataset,variant,n_features,accuracy,f1_macro,size_mb
CICIDS2017,No FS (all),78,0.9992,0.9987,1.061
CICIDS2017,MI only,15,0.9977,0.9964,0.973
CICIDS2017,RF only,15,0.9954,0.9927,0.975
CICIDS2017,Hybrid MI+RF,15,0.9974,0.9959,1.042
BoT-IoT,No FS (all),20,1.0,0.9632,0.512
BoT-IoT,MI only,15,1.0,0.9583,0.513
BoT-IoT,RF only,15,1.0,0.9574,0.518
BoT-IoT,Hybrid MI+RF,15,1.0,0.9624,0.516
ToN-IoT,No FS (all),40,0.9992,0.999,1.007
ToN-IoT,MI only,15,0.9988,0.9984,1.066
ToN-IoT,RF only,15,0.9987,0.9982,1.086
ToN-IoT,Hybrid MI+RF,15,0.9986,0.9981,1.068
